file,chapter,title,words,hrefs,images,figures,code_blocks,callout_count,flags,changes
part-1-foundations-of-embodied-ai/module-01-from-static-ai-to-embodied-ai/section-1.1.html,Chapter 1: From Static AI to Embodied AI,Section 1.1: Static prediction vs. embodied interaction,2257,16,1,2,8,12,,added reader-pathway callout
part-1-foundations-of-embodied-ai/module-01-from-static-ai-to-embodied-ai/section-1.2.html,Chapter 1: From Static AI to Embodied AI,Section 1.2: Why intelligence needs a world; the perception-action loop,1747,16,1,2,2,13,,added reader-pathway callout
part-1-foundations-of-embodied-ai/module-01-from-static-ai-to-embodied-ai/section-1.3.html,Chapter 1: From Static AI to Embodied AI,"Section 1.3: Agents, environments, observations, actions, rewards, constraints",1555,16,1,2,2,13,,added reader-pathway callout
part-1-foundations-of-embodied-ai/module-01-from-static-ai-to-embodied-ai/section-1.4.html,Chapter 1: From Static AI to Embodied AI,Section 1.4: Physical vs. simulated embodiment,1512,16,1,2,2,13,,added reader-pathway callout
part-1-foundations-of-embodied-ai/module-01-from-static-ai-to-embodied-ai/section-1.5.html,Chapter 1: From Static AI to Embodied AI,"Section 1.5: The ""Physical AI"" framing and why 2023-2026 changed the field",1607,16,1,2,2,13,,added reader-pathway callout
part-1-foundations-of-embodied-ai/module-01-from-static-ai-to-embodied-ai/section-1.6.html,Chapter 1: From Static AI to Embodied AI,"Section 1.6: Examples: vacuum, drone, autonomous vehicle, manipulator, humanoid, game agent",1581,16,0,1,2,13,missing-raster-illustration,added reader-pathway callout
part-1-foundations-of-embodied-ai/module-01-from-static-ai-to-embodied-ai/section-1.7.html,Chapter 1: From Static AI to Embodied AI,"Section 1.7: Why embodied AI is hard (partial observability, long horizons, safety, data cost)",2104,16,0,1,8,13,missing-raster-illustration,added reader-pathway callout
part-1-foundations-of-embodied-ai/module-01-from-static-ai-to-embodied-ai/section-1.8.html,Chapter 1: From Static AI to Embodied AI,Section 1.8: Map of the book,1505,16,0,1,2,13,missing-raster-illustration,added reader-pathway callout
part-1-foundations-of-embodied-ai/module-02-the-agent-environment-interface/section-2.1.html,Chapter 2: The Agent-Environment Interface,Section 2.1: Agents and environments formally,1721,16,1,2,2,14,,added reader-pathway callout
part-1-foundations-of-embodied-ai/module-02-the-agent-environment-interface/section-2.2.html,Chapter 2: The Agent-Environment Interface,"Section 2.2: State, observation, hidden variables, partial observability",1678,16,1,2,2,14,,added reader-pathway callout
part-1-foundations-of-embodied-ai/module-02-the-agent-environment-interface/section-2.3.html,Chapter 2: The Agent-Environment Interface,"Section 2.3: Action types: discrete, continuous, symbolic, motor-level, chunked",2099,16,1,2,8,14,,added reader-pathway callout
part-1-foundations-of-embodied-ai/module-02-the-agent-environment-interface/section-2.4.html,Chapter 2: The Agent-Environment Interface,"Section 2.4: Rewards, goals, costs, constraints",1586,16,1,2,2,14,,added reader-pathway callout
part-1-foundations-of-embodied-ai/module-02-the-agent-environment-interface/section-2.5.html,Chapter 2: The Agent-Environment Interface,"Section 2.5: Episodes, horizons, trajectories, discounting",1501,16,1,2,2,14,,added reader-pathway callout
part-1-foundations-of-embodied-ai/module-02-the-agent-environment-interface/section-2.6.html,Chapter 2: The Agent-Environment Interface,Section 2.6: Markov decision processes; Bellman equations,1494,16,0,1,2,14,missing-raster-illustration,added reader-pathway callout
part-1-foundations-of-embodied-ai/module-02-the-agent-environment-interface/section-2.7.html,Chapter 2: The Agent-Environment Interface,Section 2.7: Partially observable MDPs; belief states,1955,16,0,1,8,13,missing-raster-illustration,added reader-pathway callout
part-1-foundations-of-embodied-ai/module-02-the-agent-environment-interface/section-2.8.html,Chapter 2: The Agent-Environment Interface,Section 2.8: Why embodiment is usually partially observable,1495,16,0,1,2,13,missing-raster-illustration,added reader-pathway callout
part-1-foundations-of-embodied-ai/module-03-embodied-system-architectures/section-3.1.html,Chapter 3: Embodied System Architectures,"Section 3.1: The canonical stack: sense, perceive, estimate, predict, plan, control, act",1595,16,1,2,2,13,,added reader-pathway callout
